"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"CELL_000019",139231,7366,427849,40405,16593,0,16311,10560,209093,0.831304730391199,0.815455284707987,"FALSE","HCC827","HCC827","SNG"
"CELL_000020",143441,12204,415609,41749,16075,0,16426,11044,210155,0.826989602872785,0.819671156067133,"FALSE","HCC827","HCC827","SNG"
"CELL_000021",145665,6910,429511,28763,17580,0,12612,10833,219969,0.83463578955059,0.786547159529426,"FALSE","HCC827","HCC827","SNG"
"CELL_000022",140014,5886,427664,33371,17748,0,15885,10720,217015,0.828864364176261,0.810238886241095,"FALSE","HCC827","HCC827","SNG"
"CELL_000023",146360,4823,427561,28194,15701,0,13042,10786,213475,0.844942030643169,0.80345235725718,"FALSE","HCC827","HCC827","SNG"
"CELL_000024",143812,7084,409806,48101,16170,0,16507,10857,203207,0.833214406943008,0.800262746841263,"FALSE","HCC827","HCC827","SNG"
"CELL_000025",131730,7880,414646,50093,17973,0,10159,11872,208192,0.834081040537865,0.820660696825013,"FALSE","H1975","H1975","DBL"
"CELL_000026",139255,7017,415003,42041,18295,0,15056,11153,207930,0.822329630124449,0.77693931722506,"FALSE","H1975","H1975","SNG"
"CELL_000027",133641,9797,413584,40448,16539,0,10822,11077,208444,0.836752317128977,0.808125884739984,"FALSE","HCC827","HCC827","SNG"
"CELL_000028",132911,7375,409287,42946,16364,0,13064,11223,207000,0.828415458897178,0.805772907933676,"FALSE","HCC827","HCC827","SNG"
"CELL_000029",137892,9338,412527,32634,16136,0,11079,10383,203847,0.84841081787574,0.804593601838948,"FALSE","HCC827","HCC827","SNG"
"CELL_000030",136762,6768,415746,32050,15756,0,13368,10705,209264,0.832818831675165,0.79111071225291,"FALSE","HCC827","HCC827","SNG"
"CELL_000031",135817,7844,409139,35153,16221,0,12437,10827,203932,0.82808975536806,0.799271286543,"FALSE","HCC827","HCC827","SNG"
"CELL_000032",138424,6556,400801,41293,15681,0,14949,10668,200293,0.827283030319218,0.794271352754647,"FALSE","HCC827","HCC827","SNG"
"CELL_000033",133339,6490,409252,37827,15794,0,10159,10495,201013,0.833702297819857,0.799167178283634,"FALSE","HCC827","HCC827","SNG"
"CELL_000034",141929,25104,365134,52290,18059,0,16130,11462,188510,0.825584849566305,0.744119635875039,"FALSE","HCC827","HCC827","SNG"
"CELL_000035",122084,7134,418865,36639,15101,0,15781,11577,212095,0.829081307865387,0.829882796393937,"FALSE","H2228","H2228","SNG"
"CELL_000036",137938,7292,398997,37674,15422,0,17831,10723,198791,0.83496234734797,0.781111781664573,"FALSE","HCC827","HCC827","SNG"
"CELL_000037",137509,6195,398727,35211,16546,0,13841,10504,197250,0.833967046852524,0.793110225951319,"FALSE","HCC827","HCC827","SNG"
"CELL_000038",124209,8429,395280,51061,13111,0,15329,11379,186043,0.83989185291358,0.846793437710989,"FALSE","H2228","H2228","SNG"
"CELL_000039",130581,6288,399333,32398,15855,0,11619,10358,197487,0.838120990199956,0.79022919026421,"FALSE","HCC827","HCC827","SNG"
"CELL_000040",133448,6036,393406,35218,15579,0,9377,10349,195537,0.836220254947339,0.791277313691152,"FALSE","HCC827","HCC827","SNG"
"CELL_000041",127795,7590,381506,44176,15237,0,13210,10844,191192,0.833471065691375,0.801210259780207,"FALSE","HCC827","HCC827","SNG"
"CELL_000042",125149,6276,393488,37072,15769,0,15778,11089,190777,0.830398842584253,0.808268249932211,"FALSE","H1975","H1975","SNG"
"CELL_000043",135031,5842,387557,30405,16478,0,10602,10137,191810,0.832083832916319,0.783796424388904,"FALSE","HCC827","HCC827","SNG"
"CELL_000044",125634,6763,391434,33111,16790,0,14859,10923,195463,0.826156356915316,0.802566173517946,"FALSE","H1975","H1975","SNG"
"CELL_000045",130040,7618,383084,36863,16323,0,15421,10683,188819,0.820388837944254,0.798028757803571,"FALSE","HCC827","HCC827","SNG"
"CELL_000046",127268,6226,392177,29849,15977,0,16973,10315,193787,0.824983099958976,0.803077564383701,"FALSE","HCC827","HCC827","SNG"
"CELL_000047",127416,6366,390069,31097,15308,0,11601,10603,191540,0.835762764914077,0.809308718319478,"FALSE","HCC827","HCC827","SNG"
"CELL_000048",121564,5945,398146,23768,18336,0,13014,10624,200618,0.817613574015412,0.786330200364364,"FALSE","H1975","H1975","SNG"
"CELL_000049",130111,6565,384192,29988,15836,0,15640,10460,190658,0.826516589871576,0.799746100360536,"FALSE","HCC827","HCC827","SNG"
"CELL_000050",126149,7189,370199,47639,13123,0,13907,11520,185153,0.840332049664854,0.833008331865628,"FALSE","HCC827","HCC827","SNG"
"CELL_000051",119057,6012,387699,34222,17563,0,9133,11053,190963,0.824934673165748,0.800610547561017,"FALSE","H1975","H1975","SNG"
"CELL_000052",131072,6731,382145,27539,15424,0,12527,10440,188971,0.833334215258779,0.781876542862315,"FALSE","HCC827","HCC827","SNG"
"CELL_000053",132802,6195,379157,28379,14924,0,12949,10423,193100,0.843894355212641,0.771336055342514,"FALSE","HCC827","HCC827","SNG"
"CELL_000054",125588,6684,383162,30457,15021,0,10320,10305,186568,0.834108743148123,0.821652114957972,"FALSE","HCC827","HCC827","SNG"
"CELL_000055",125068,6028,383989,29420,15521,0,11512,10486,195235,0.837795477202459,0.803370256185097,"FALSE","HCC827","HCC827","SNG"
"CELL_000056",127423,7544,370982,36855,14861,0,13882,10507,184593,0.836288483266631,0.789612781112351,"FALSE","HCC827","HCC827","SNG"
"CELL_000057",126653,6125,373581,32313,15341,0,12337,10259,183002,0.82625326494649,0.796160654191722,"FALSE","HCC827","HCC827","SNG"
"CELL_000058",133828,13035,330992,62134,12106,0,40857,10524,165247,0.788528687311205,0.806187052945769,"FALSE","HCC827","HCC827","SNG"
"CELL_000059",118717,6529,368663,38476,16837,0,11337,10578,181205,0.814977511613091,0.799514318064385,"FALSE","H1975","H1975","SNG"
"CELL_000060",129309,6176,366048,31043,14711,0,14008,10411,184441,0.842437418966367,0.78397423653232,"FALSE","HCC827","HCC827","SNG"
"CELL_000061",121158,7076,360236,43977,13940,0,15783,11260,188853,0.828448581657244,0.805472997226785,"FALSE","HCC827","HCC827","DBL"
"CELL_000062",119443,5612,375737,28137,16557,0,9205,10707,191505,0.824004595137255,0.79100802636965,"FALSE","H1975","H1975","SNG"
"CELL_000063",123361,8006,361873,39203,14390,0,14405,10557,187478,0.835436691193877,0.791751523285318,"FALSE","HCC827","HCC827","SNG"
"CELL_000064",125752,6731,365642,29424,15959,0,20599,10482,183246,0.793561660238501,0.816437967735287,"FALSE","H1975","H1975","SNG"
"CELL_000065",113752,7674,354909,50704,12460,0,13951,11359,169865,0.82785152910677,0.843251944588235,"FALSE","H2228","H2228","SNG"
"CELL_000066",126402,6532,364156,25092,14247,0,11944,10224,184326,0.83582348660331,0.803890888757371,"FALSE","HCC827","HCC827","SNG"
"CELL_000067",122530,6299,353724,39372,15496,0,14522,10584,174479,0.826277087739712,0.801821376680209,"FALSE","HCC827","HCC827","SNG"
"CELL_000068",126612,6723,353973,35653,14810,0,10372,10012,180777,0.845107508098646,0.780901288277752,"FALSE","HCC827","HCC827","SNG"
"CELL_000069",123837,6632,341190,50532,13542,0,14570,10616,174800,0.822974828328205,0.784582334978127,"FALSE","HCC827","HCC827","SNG"
"CELL_000070",115987,6038,355661,42938,14652,0,8855,10999,174093,0.842635832523844,0.815805298558512,"FALSE","H1975","H1975","SNG"
"CELL_000071",120443,5657,358786,35583,13988,0,12654,10384,178090,0.83128755119146,0.799269987126173,"FALSE","HCC827","HCC827","SNG"
"CELL_000072",116960,9017,342739,49411,12669,0,14303,11382,170296,0.836285056558211,0.813148822453327,"FALSE","H2228","H2228","DBL"
"CELL_000073",117331,6293,352441,39481,15083,0,14886,10976,180261,0.823611319097109,0.801088377347936,"FALSE","H1975","H1975","DBL"
"CELL_000074",117238,6219,345503,38231,13224,0,12401,11091,171664,0.835277052798765,0.795315220703513,"FALSE","H2228","H2228","DBL"
"CELL_000075",127171,7011,327401,45548,12643,0,20432,10732,167989,0.815672454695506,0.780104603271369,"FALSE","HCC827","HCC827","SNG"
"CELL_000076",106455,5243,362613,34114,12167,0,10778,10644,178106,0.830769317101571,0.85234069305129,"FALSE","H2228","H2228","SNG"
"CELL_000077",117269,7668,327371,55722,12252,0,14412,11226,164710,0.825675429492704,0.795707559000209,"FALSE","H2228","H1975","DBL"
"CELL_000078",104731,5364,360719,35115,12704,0,11452,10793,178884,0.83524518677829,0.837609800898359,"FALSE","H2228","H2228","SNG"
"CELL_000079",105855,7961,352169,40337,12168,0,16438,11079,170961,0.828943443192954,0.832031818249085,"FALSE","H2228","H2228","SNG"
"CELL_000080",108071,8090,338526,50800,11311,0,15537,11213,162765,0.832328817569359,0.842171176716667,"FALSE","H2228","H2228","SNG"
"CELL_000081",115728,8498,346188,31120,13177,0,13270,10228,178909,0.838465365026999,0.8004683498053,"FALSE","HCC827","HCC827","SNG"
"CELL_000082",114688,3448,359462,23229,14360,0,10668,10380,176663,0.842972212583112,0.791705066046367,"FALSE","H1975","H1975","SNG"
"CELL_000083",114010,6543,342985,36003,12583,0,12744,10034,171028,0.844230184481826,0.813621113874856,"FALSE","HCC827","HCC827","SNG"
"CELL_000084",112585,6681,344838,31767,15022,0,13384,10377,171878,0.811372019641177,0.78625532143408,"FALSE","H1975","H1975","SNG"
"CELL_000085",114959,7762,333358,41546,12919,0,13153,10510,163942,0.828793109707775,0.817185296191013,"FALSE","HCC827","HCC827","SNG"
"CELL_000086",106620,6603,351789,27283,16534,0,5354,10606,181500,0.829669421441892,0.809988936088764,"FALSE","H1975","H1975","SNG"
"CELL_000087",113533,6085,336947,36412,12624,0,10000,10041,169598,0.838524039149134,0.797061239102982,"FALSE","HCC827","HCC827","SNG"
"CELL_000088",107186,5778,341259,39043,11098,0,10178,10715,167559,0.83839125318017,0.832894632165707,"FALSE","H2228","H2228","SNG"
"CELL_000089",105791,8773,332664,42488,14435,0,8660,10658,170558,0.834367194688354,0.817633836135869,"FALSE","H1975","H1975","SNG"
"CELL_000090",113450,7107,338288,31425,13217,0,10972,10234,169104,0.836680385985152,0.804090926051961,"FALSE","HCC827","HCC827","SNG"
"CELL_000091",109034,4319,347476,24541,15131,0,8541,10255,174486,0.821991449123598,0.783289158827117,"FALSE","H1975","H1975","SNG"
"CELL_000092",112022,5778,339520,29046,13785,0,12114,10063,168213,0.827302289310142,0.805960252420428,"FALSE","HCC827","HCC827","SNG"
"CELL_000093",114214,5640,338323,28137,12483,0,14066,10240,168140,0.833632686996929,0.808683192061188,"FALSE","HCC827","HCC827","SNG"
"CELL_000094",107120,6201,338120,35517,12197,0,9600,10201,165783,0.83480815277593,0.809497909345475,"FALSE","H2228","H2228","SNG"
"CELL_000095",105138,7028,328477,47002,11558,0,12961,10700,162133,0.825976204669871,0.837762772676582,"FALSE","H2228","H2228","SNG"
"CELL_000096",111225,5988,338811,28884,13196,0,8797,10101,171491,0.83410208111014,0.79559272523965,"FALSE","HCC827","HCC827","SNG"
"CELL_000097",108512,5944,333637,32425,14949,0,8451,10376,166414,0.825429350846357,0.775103009656459,"FALSE","H1975","H1975","SNG"
"CELL_000098",112170,6961,322433,38248,14935,0,9507,10611,159905,0.82309496258259,0.794396623345322,"FALSE","H1975","H1975","SNG"
"CELL_000099",115999,5063,325310,33417,12453,0,11422,9884,161392,0.835809705509826,0.806142757624742,"FALSE","HCC827","HCC827","SNG"
"CELL_000100",106756,3944,344386,23378,14382,0,9330,10396,170208,0.828715453984025,0.811413046894797,"FALSE","H1975","H1975","SNG"
"CELL_000101",114441,5792,327414,32532,12690,0,12338,10343,160981,0.829961299729163,0.797789751722889,"FALSE","HCC827","HCC827","SNG"
"CELL_000102",105596,5697,333614,32806,14153,0,11513,10527,166753,0.822132135504481,0.812387134720986,"FALSE","H1975","H1975","SNG"
"CELL_000103",116441,5830,319023,33114,13302,0,13679,9890,159354,0.835862293959621,0.782107711001436,"FALSE","HCC827","HCC827","SNG"
"CELL_000104",111875,7493,318871,35536,11960,0,16824,9336,157547,0.82114543591302,0.831935813951658,"FALSE","HCC827","HCC827","SNG"
"CELL_000105",104629,5715,332210,27945,15363,0,9338,10135,167649,0.807174513369768,0.78884450316766,"FALSE","H1975","H1975","SNG"
"CELL_000106",107001,6287,323780,39521,10606,0,11787,10158,156209,0.845002528609427,0.814216798378019,"FALSE","H2228","H2228","SNG"
"CELL_000107",110699,8777,325037,28107,12542,0,13846,10233,167644,0.828434062607166,0.809149101122074,"FALSE","HCC827","HCC827","SNG"
"CELL_000108",101693,5738,327372,37812,11898,0,13934,10652,158244,0.827342584816654,0.832751900056122,"FALSE","H2228","H2228","SNG"
"CELL_000109",115725,5104,322940,26364,13071,0,10129,9829,167309,0.839590219244656,0.776126760895901,"FALSE","HCC827","HCC827","SNG"
"CELL_000110",102309,7009,322507,42481,10561,0,10555,10584,154786,0.833195508583903,0.841490778139446,"FALSE","H2228","H2228","SNG"
"CELL_000111",107697,5629,324131,33894,12856,0,8710,10086,162392,0.839942854276076,0.814565938311866,"FALSE","HCC827","HCC827","SNG"
"CELL_000112",110629,5830,317170,35898,12721,0,11994,9962,160602,0.822200221614787,0.794298900742276,"FALSE","HCC827","HCC827","SNG"
"CELL_000113",102390,6191,323184,34488,14863,0,7510,10880,162814,0.829363568192578,0.808806318326046,"FALSE","H1975","H1975","SNG"
"CELL_000114",106445,4895,326698,27460,14634,0,7256,10228,160487,0.833874394758836,0.784493399185392,"FALSE","H1975","H1975","SNG"
"CELL_000115",108586,6236,321671,31843,12248,0,16497,10027,161133,0.825262360855612,0.808052924723494,"FALSE","HCC827","HCC827","SNG"
"CELL_000116",109461,5818,319612,32289,13281,0,8580,9847,167639,0.841928190883868,0.780206230041564,"FALSE","HCC827","HCC827","SNG"
"CELL_000117",106135,5184,327618,29621,12763,0,7730,9814,162663,0.831830225630178,0.789232905501995,"FALSE","HCC827","HCC827","SNG"
"CELL_000118",96043,5816,326453,39924,10770,0,12068,10615,156407,0.834022773863445,0.857423206287237,"FALSE","H2228","H2228","SNG"
"CELL_000119",110417,5267,324140,25682,12366,0,12433,10002,173276,0.825070984970505,0.791638727138281,"FALSE","HCC827","HCC827","SNG"
"CELL_000120",111711,6684,318179,27670,13515,0,10422,9918,159093,0.834103323161038,0.792655818128025,"FALSE","HCC827","HCC827","SNG"
"CELL_000121",103429,5810,319395,37636,10194,0,10364,10401,155057,0.841935546228681,0.823135954962629,"FALSE","H2228","H2228","SNG"
"CELL_000122",105647,5220,317642,33757,13853,0,14848,10306,159224,0.820441641911996,0.79244330047962,"FALSE","H1975","H1975","SNG"
"CELL_000123",110790,6513,317517,29435,12745,0,15455,10266,156594,0.821845025938296,0.803600342056506,"FALSE","HCC827","HCC827","SNG"
"CELL_000124",103215,6250,319055,31956,14633,0,9119,10490,158385,0.81981879592008,0.789519159673002,"FALSE","H1975","H1975","SNG"
"CELL_000125",100663,5624,320077,37158,11482,0,10222,10566,156419,0.834649243325002,0.825411182438759,"FALSE","H2228","H2228","SNG"
"CELL_000126",98400,3047,338965,21480,12482,0,4976,10007,171290,0.837532838995999,0.791762461803814,"FALSE","H2228","H2228","SNG"
"CELL_000127",109736,5616,316550,29488,12849,0,10553,9868,161594,0.832103914697817,0.790685248791091,"FALSE","HCC827","HCC827","SNG"
"CELL_000128",101811,6420,318248,35923,12164,0,11730,10842,155164,0.822871284523287,0.811947306595131,"FALSE","H2228","H2228","SNG"
"CELL_000129",106345,5461,320919,26880,13156,0,11254,9896,162950,0.83021172133598,0.801135268417596,"FALSE","HCC827","HCC827","SNG"
"CELL_000130",103187,6484,315272,35067,13728,0,9543,10452,157564,0.834023000124773,0.786943668163815,"FALSE","H1975","H1975","SNG"
"CELL_000131",101610,7399,311846,35283,14157,0,12371,10535,152491,0.818277799947651,0.831753950609941,"FALSE","H1975","H1975","SNG"
"CELL_000132",100850,8239,304463,45533,10641,0,12051,10590,150878,0.827151738435879,0.82330751843824,"FALSE","H2228","H2228","SNG"
"CELL_000133",102441,4957,321151,25769,14511,0,11937,10265,156169,0.818645185611828,0.81086510057277,"FALSE","H1975","H1975","SNG"
"CELL_000134",97411,5979,320904,29171,14645,0,6560,10530,160367,0.830432694954047,0.805121951204303,"FALSE","H1975","H1975","SNG"
"CELL_000135",97836,4534,326339,22351,15340,0,8488,10137,168097,0.826029018910151,0.802239135603899,"FALSE","H1975","H1975","SNG"
"CELL_000136",108831,4642,315073,25038,12478,0,9499,9992,160285,0.841076831840716,0.778531941321275,"FALSE","HCC827","HCC827","SNG"
"CELL_000137",101884,5727,314541,29192,14008,0,12956,10104,155738,0.826336539519813,0.800690852541393,"FALSE","H1975","H1975","SNG"
"CELL_000138",100724,5773,314340,30136,13712,0,10622,10280,157852,0.819919924941089,0.794250260101218,"FALSE","H1975","H1975","SNG"
"CELL_000139",101564,6973,310859,33289,12066,0,13464,10161,154963,0.825345404978908,0.814775087293413,"FALSE","HCC827","HCC827","SNG"
"CELL_000140",101566,5743,314483,27500,12756,0,11592,9992,158414,0.830103399899624,0.812314516878905,"FALSE","HCC827","HCC827","SNG"
"CELL_000141",103893,6005,302127,35082,13696,0,11047,10450,148164,0.826516562672004,0.793114333231127,"FALSE","H1975","H1975","SNG"
"CELL_000142",105251,5806,290057,48014,9744,0,14263,10587,139297,0.831381867460794,0.816399433124946,"FALSE","H2228","H2228","SNG"
"CELL_000143",102471,3911,313167,24974,14349,0,10743,9881,153580,0.812976950070779,0.799934835269251,"FALSE","H1975","H1975","SNG"
"CELL_000144",96195,6694,310798,33808,10665,0,11268,10276,151238,0.833752099284985,0.823827290507194,"FALSE","H2228","H2228","SNG"
"CELL_000145",104738,4725,307770,29397,12402,0,10477,9621,153347,0.840583774000105,0.791701122832457,"FALSE","HCC827","HCC827","SNG"
"CELL_000146",108088,5398,303256,28899,12237,0,11126,9669,150063,0.835415791978341,0.788788656178495,"FALSE","HCC827","HCC827","SNG"
"CELL_000147",98368,5771,304080,37740,10608,0,10142,10391,147603,0.825288103844415,0.823729814181974,"FALSE","H2228","H2228","SNG"
"CELL_000148",108173,4645,306424,25425,12074,0,11188,9788,160196,0.833054508175419,0.781723589744838,"FALSE","HCC827","HCC827","SNG"
"CELL_000149",101863,5490,308632,27555,12414,0,11782,9782,159214,0.83128368103111,0.804897759939593,"FALSE","HCC827","HCC827","SNG"
"CELL_000150",106666,6047,294935,32340,11827,0,11535,9776,144295,0.836681797648104,0.814615834601626,"FALSE","HCC827","HCC827","SNG"
"CELL_000151",105187,4739,296673,31906,12415,0,10337,9514,150678,0.838967865193395,0.787832278910506,"FALSE","HCC827","HCC827","SNG"
"CELL_000152",95279,5225,305721,34268,10233,0,12288,10262,148239,0.825444046382838,0.836534188942573,"FALSE","H2228","H2228","SNG"
"CELL_000153",92279,5027,310022,34639,10276,0,8849,10290,150954,0.84171999411465,0.834459448940773,"FALSE","H2228","H2228","SNG"
"CELL_000154",103454,7711,291425,35692,12907,0,9360,10371,144643,0.831806585812531,0.800121623575173,"FALSE","H1975","H1975","SNG"
"CELL_000155",111849,4410,297474,22022,12897,0,11346,9536,161943,0.816966463458318,0.777594537732749,"FALSE","HCC827","HCC827","SNG"
"CELL_000156",99958,6289,299905,29434,13541,0,9001,10339,145787,0.818351430455504,0.794233999311736,"FALSE","H1975","H1975","SNG"
"CELL_000157",99431,6835,300050,27933,12996,0,9340,9937,155656,0.819197461015367,0.79321704314533,"FALSE","H1975","H1975","SNG"
"CELL_000158",103866,4764,302253,25194,11098,0,8191,9606,149340,0.835248426353606,0.814302878378005,"FALSE","HCC827","HCC827","SNG"
"CELL_000159",105512,5718,298313,26785,11309,0,16699,9763,153212,0.831990966710702,0.793449547460411,"FALSE","HCC827","HCC827","SNG"
"CELL_000160",104264,6122,294671,30888,11627,0,14712,10144,145581,0.825993776603678,0.797356743163136,"FALSE","HCC827","HCC827","SNG"
"CELL_000161",106860,6570,292433,28870,11670,0,14912,10013,153644,0.828961755693098,0.77839025419865,"FALSE","HCC827","HCC827","SNG"
"CELL_000162",99400,6015,297577,29134,13479,0,10229,10415,149397,0.826415523683447,0.810765891499435,"FALSE","H1975","H1975","SNG"
"CELL_000163",98354,5464,298484,33126,9764,0,11070,9915,149963,0.840674032872064,0.808526049190397,"FALSE","H2228","H2228","SNG"
"CELL_000164",99450,4463,299616,27640,14173,0,6239,9899,152414,0.827699555104669,0.794972850592934,"FALSE","H1975","H1975","SNG"
"CELL_000165",99636,5056,298834,29590,11849,0,9006,9855,150049,0.833687661974842,0.792927590791835,"FALSE","HCC827","HCC827","SNG"
"CELL_000166",98283,4688,295573,35689,10593,0,8550,10253,139985,0.832724934754958,0.801314369302827,"FALSE","H2228","H2228","SNG"
"CELL_000167",102037,8760,281851,38605,12564,0,14407,10282,138805,0.821627462928452,0.797500032599688,"FALSE","H1975","H1975","SNG"
"CELL_000168",92594,7223,291902,42846,9657,0,9711,10199,140121,0.838882108974466,0.839460120934041,"FALSE","H2228","H2228","SNG"
"CELL_000169",99761,5858,288886,35647,13009,0,11922,10377,144216,0.83828424024808,0.821545402622081,"FALSE","H1975","H1975","SNG"
"CELL_000170",98802,5036,300821,26418,12074,0,10424,10104,151929,0.825661986794775,0.796003343930168,"FALSE","HCC827","HCC827","SNG"
"CELL_000171",95608,4603,302030,27296,12274,0,10902,10098,149567,0.816951600231538,0.827816241028018,"FALSE","HCC827","HCC827","SNG"
"CELL_000172",94194,4635,303400,30208,10147,0,10495,9983,149357,0.833774111636296,0.817718565737222,"FALSE","H2228","H2228","SNG"
"CELL_000173",99478,7672,284332,37235,12529,0,13041,10691,142599,0.812347912621242,0.799753097865125,"FALSE","H1975","H1975","SNG"
"CELL_000174",99338,4618,295268,29303,11996,0,10952,9991,147819,0.828607959678485,0.807243939734138,"FALSE","HCC827","HCC827","SNG"
"CELL_000175",94215,5976,289489,42196,9391,0,10021,10395,139452,0.840934515041668,0.842598109557546,"FALSE","H2228","H2228","SNG"
"CELL_000176",97237,5316,291954,34481,9868,0,10269,9855,143661,0.834332212581401,0.806050298546558,"FALSE","H2228","H2228","SNG"
"CELL_000177",100826,6427,282704,35807,9912,0,13560,10602,139887,0.828189896071244,0.797936849175631,"FALSE","H2228","H2228","SNG"
"CELL_000178",110435,6442,279972,28938,10810,0,14339,10149,145604,0.833239471385866,0.788961787522198,"FALSE","HCC827","HCC827","SNG"
"CELL_000179",98858,4692,294543,27754,11364,0,11564,9826,149156,0.827824559466074,0.788744617129407,"FALSE","HCC827","HCC827","SNG"
"CELL_000180",92194,5362,297296,28026,13767,0,7067,10255,150204,0.81860003722813,0.795897526304391,"FALSE","H1975","H1975","SNG"
"CELL_000181",89639,4622,297047,32884,10058,0,12954,10241,144058,0.818107984227318,0.837579250192336,"FALSE","H2228","H2228","SNG"
"CELL_000182",95813,5780,291152,29422,11606,0,12211,9911,145706,0.83348660996572,0.810872523377725,"FALSE","HCC827","HCC827","SNG"
"CELL_000183",101198,6052,279609,34872,10434,0,12291,9671,140688,0.844528317920183,0.806067268987599,"FALSE","HCC827","HCC827","SNG"
"CELL_000184",93063,3719,301924,22068,12059,0,7860,10213,151580,0.842512204720774,0.803377701320906,"FALSE","H1975","H1975","SNG"
"CELL_000185",103144,5582,284929,27581,11271,0,10748,9884,143534,0.833196315797428,0.795539677321075,"FALSE","HCC827","HCC827","SNG"
"CELL_000186",90489,4422,299188,23861,12994,0,12778,9945,142597,0.808151644087312,0.8176398649593,"FALSE","H1975","H1975","SNG"
"CELL_000187",116543,5529,264646,34982,9856,0,11853,8209,139038,0.867295271733821,0.688293798221076,"FALSE","HCC827","HCC827","SNG"
"CELL_000188",101688,4594,285395,26056,11969,0,9340,9655,148732,0.826876529541264,0.795121372998321,"FALSE","HCC827","HCC827","SNG"
"CELL_000189",87987,6216,292470,31685,9837,0,9603,10179,143342,0.838526042552879,0.850741523716599,"FALSE","H2228","H2228","SNG"
"CELL_000190",100804,6437,274691,34339,10983,0,11624,9682,140525,0.83074186081973,0.788727928217191,"FALSE","HCC827","HCC827","SNG"
"CELL_000191",95652,5962,277343,39272,10304,0,13302,10749,135660,0.820919946865626,0.833922981429826,"FALSE","H2228","H2228","SNG"
"CELL_000192",99496,5533,277477,34114,11423,0,11773,9662,138818,0.823596363524644,0.804737079864493,"FALSE","HCC827","HCC827","SNG"
"CELL_000193",88340,5664,284737,39825,9304,0,9429,10253,137720,0.842506534937372,0.836944464351985,"FALSE","H2228","H2228","SNG"
"CELL_000194",91611,4835,292148,27708,10055,0,10843,9900,147386,0.832195730881346,0.81399177574588,"FALSE","H2228","H2228","SNG"
"CELL_000195",89866,5716,283317,38101,9433,0,8941,10202,142221,0.833372005482076,0.83696494631841,"FALSE","H2228","H2228","SNG"
"CELL_000196",95829,6115,283905,28465,11410,0,9569,9722,145501,0.849141930237652,0.799678297765768,"FALSE","H1975","H1975","SNG"
